3,88,3
7,82,7
8,73,10
9,57,1
12,20,4
12,45,9
13,56,9
14,65,4
14,83,8
15,39,2
16,27,10
17,54,8
17,87,5
18,73,2
18,97,9
19,93,1
20,32,4
20,41,1
21,41,6
22,77,3
23,33,8
24,81,2
25,79,3
26,28,2
26,49,4
32,73,1
35,78,9
37,70,10
38,42,2
38,65,5
38,98,8
39,77,4
39,96,7
41,56,8
42,83,1
43,63,6
49,53,2
51,83,1
51,89,2
54,81,8
57,93,6
60,97,6
61,74,10
71,82,10
76,89,8
77,97,7
78,79,4
0,84,10
1,5,10
2,19,10
4,18,2
6,60,2
10,58,4
11,17,8
29,8,5
30,83,10
31,38,3
34,0,8
36,95,6
40,1,4
44,63,9
46,97,5
47,87,3
48,81,3
50,43,8
52,39,2
55,83,5
59,55,3
62,78,7
64,52,8
66,20,5
67,25,10
68,12,4
69,53,10
72,67,3
75,8,5
80,52,8
85,15,8
86,22,6
90,74,2
91,49,6
92,41,4
94,2,10
99,37,8
