0,7,1,10
1,78,1,5
2,35,1,9
2,61,1,1
3,69,1,6
3,70,1,2
3,87,1,6
4,37,1,9
5,34,1,6
5,64,1,4
6,74,1,8
9,50,1,5
11,73,1,1
11,94,1,4
13,26,1,6
15,32,1,5
16,30,1,2
16,97,1,2
17,45,1,1
18,26,1,3
18,90,1,7
21,67,1,5
22,40,1,4
22,64,1,1
23,83,1,8
23,95,1,2
27,54,1,5
31,68,1,8
31,71,1,2
32,37,1,5
32,38,1,5
32,80,1,2
33,74,1,3
34,44,1,2
34,81,1,4
35,80,1,5
36,46,1,10
39,50,1,1
42,75,1,2
42,89,1,7
44,57,1,6
44,76,1,9
46,68,1,4
48,88,1,5
49,63,1,9
51,72,1,5
52,67,1,3
57,80,1,9
58,73,1,7
65,86,1,7
68,73,1,1
72,97,1,5
73,91,1,7
80,84,1,6
80,99,1,6
84,96,1,2
8,96,1,7
10,30,1,10
12,3,1,9
14,69,1,6
19,15,1,2
20,28,1,8
24,21,1,10
25,12,1,1
29,90,1,6
41,42,1,6
43,70,1,7
47,85,1,4
53,69,1,8
55,96,1,4
56,5,1,5
59,98,1,7
60,31,1,9
62,26,1,5
66,93,1,9
77,17,1,5
79,80,1,5
82,43,1,6
92,55,1,1
0,93,1,5
2,97,1,4
3,1,1,2
4,34,1,8
5,99,1,3
7,2,1,3
8,14,1,2
10,71,1,1
11,65,1,9
13,12,1,6
14,50,1,2
15,96,1,5
17,56,1,5
18,25,1,4
19,14,1,10
20,71,1,3
21,33,1,9
22,1,1,5
23,50,1,5
25,60,1,1
28,14,1,1
32,89,1,4
34,1,1,7
35,70,1,4
40,15,1,9
41,54,1,7
42,15,1,10
44,90,1,10
45,91,1,3
47,37,1,7
48,13,1,7
51,66,1,9
54,22,1,6
56,94,1,1
57,7,1,8
58,48,1,10
59,66,1,8
60,88,1,8
61,70,1,3
64,85,1,3
65,48,1,4
66,42,1,3
68,74,1,9
72,43,1,6
74,96,1,9
76,49,1,7
77,80,1,4
78,72,1,8
79,62,1,5
81,39,1,3
82,80,1,8
83,94,1,7
86,24,1,8
88,57,1,3
89,53,1,6
90,9,1,7
91,5,1,6
94,8,1,8
95,42,1,8
96,45,1,3
97,46,1,10
98,78,1,3
99,52,1,9
1,1,1,1
4,48,1,4
7,6,1,4
10,69,1,1
12,47,1,1
14,74,1,9
16,39,1,2
20,89,1,1
21,99,1,10
26,85,1,6
27,30,1,1
30,54,1,2
31,77,1,7
36,18,1,5
37,21,1,1
38,52,1,1
41,82,1,8
42,49,1,6
45,24,1,5
48,98,1,5
54,63,1,4
59,52,1,8
81,81,1,10
55,55,1,7
79,79,1,8
64,64,1,3
