1,95,9
5,45,7
5,62,8
5,87,2
5,99,5
6,75,1
8,21,3
9,84,6
10,22,7
11,22,10
12,53,5
12,77,1
13,51,1
13,88,5
14,42,4
14,47,8
15,84,5
15,99,1
16,26,10
16,52,7
17,30,2
18,81,1
22,68,8
23,38,2
23,92,7
24,48,7
25,85,5
27,61,6
30,47,2
31,47,10
31,58,9
32,49,9
32,53,7
35,90,9
38,60,2
38,63,7
40,84,3
44,70,1
49,53,2
50,71,9
56,94,8
57,95,9
63,90,2
63,91,6
63,98,5
65,78,2
65,88,1
66,72,1
86,92,2
0,45,7
2,93,10
3,17,6
4,45,7
7,31,2
19,31,2
20,34,2
28,48,9
29,0,5
33,78,6
36,37,3
39,57,8
41,99,2
43,64,3
46,92,2
54,91,9
55,89,4
59,78,4
67,81,5
69,76,10
73,9,1
74,10,10
79,61,3
80,6,1
82,57,10
83,94,4
96,2,4
97,19,4
0,78,8
3,3,4
4,56,7
6,89,7
7,11,4
8,37,9
10,39,5
11,73,6
12,47,6
16,44,4
17,46,6
18,9,1
20,52,2
22,0,8
24,69,9
25,22,9
26,2,6
28,47,2
30,35,6
32,18,6
33,4,2
35,38,3
37,6,3
38,2,1
39,84,10
42,17,7
43,63,9
44,98,7
47,40,1
48,1,4
50,38,8
52,47,7
54,44,1
56,12,5
58,88,8
62,23,10
64,84,1
65,57,6
66,36,5
67,80,4
70,54,8
71,68,6
72,57,2
73,64,2
74,38,1
75,66,9
77,8,1
78,21,4
79,77,4
80,82,7
81,37,6
82,71,3
83,43,5
84,4,5
91,55,8
92,28,6
93,72,3
94,60,1
96,20,7
97,24,2
99,43,3
4,96,1
7,5,8
8,43,2
9,55,10
11,2,4
13,46,10
14,69,10
15,8,9
16,13,6
20,82,6
22,70,5
25,70,9
29,71,1
30,72,9
36,20,2
38,89,1
39,55,1
44,79,7
54,54,5
56,56,9
61,16,7
63,80,6
65,27,6
67,67,2
71,71,9
90,90,9
6,6,10
15,15,5
52,52,6
32,32,5
