0,29,7
0,68,2
1,84,4
2,43,4
5,29,9
5,40,10
6,62,4
7,20,9
7,61,2
7,94,6
8,51,9
10,76,8
11,82,2
12,89,9
16,37,9
17,66,3
20,64,10
21,57,5
22,46,6
22,97,2
24,66,10
25,58,8
25,64,10
25,98,10
26,34,6
26,48,4
26,90,4
26,98,4
27,31,7
30,45,3
30,86,4
30,91,1
31,48,9
36,99,10
38,39,3
38,58,4
40,89,3
41,78,2
41,97,8
43,73,10
44,81,5
45,76,3
45,87,7
46,71,7
54,69,3
57,59,4
59,65,5
60,89,4
64,76,3
66,91,10
69,98,2
74,80,10
79,83,4
86,89,4
93,97,9
3,2,2
4,81,7
9,5,9
13,80,9
14,69,5
15,11,10
18,26,10
19,55,3
23,26,2
28,90,9
32,56,3
33,37,8
35,42,10
47,90,1
49,15,6
50,54,4
52,16,2
53,83,6
63,96,8
67,41,7
70,66,6
72,91,1
75,6,1
77,50,1
85,72,9
88,83,4
92,1,3
95,59,4
