0,7,10
1,78,5
2,35,9
2,61,1
3,69,6
3,70,2
3,87,6
4,37,9
5,34,6
5,64,4
6,74,8
9,50,5
11,73,1
11,94,4
13,26,6
15,32,5
16,30,2
16,97,2
17,45,1
18,26,3
18,90,7
21,67,5
22,40,4
22,64,1
23,83,8
23,95,2
27,54,5
31,68,8
31,71,2
32,37,5
32,38,5
32,80,2
33,74,3
34,44,2
34,81,4
35,80,5
36,46,10
39,50,1
42,75,2
42,89,7
44,57,6
44,76,9
46,68,4
48,88,5
49,63,9
51,72,5
52,67,3
57,80,9
58,73,7
65,86,7
68,73,1
72,97,5
73,91,7
80,84,6
80,99,6
84,96,2
8,96,7
10,30,10
12,3,9
14,69,6
19,15,2
20,28,8
24,21,10
25,12,1
29,90,6
41,42,6
43,70,7
47,85,4
53,69,8
55,96,4
56,5,5
59,98,7
60,31,9
62,26,5
66,93,9
77,17,5
79,80,5
82,43,6
92,55,1
0,93,5
2,97,4
3,1,2
4,34,8
5,99,3
7,2,3
8,14,2
10,71,1
11,65,9
13,12,6
14,50,2
15,96,5
17,56,5
18,25,4
19,14,10
20,71,3
21,33,9
22,1,5
23,50,5
25,60,1
28,14,1
32,89,4
34,1,7
35,70,4
40,15,9
41,54,7
42,15,10
44,90,10
45,91,3
47,37,7
48,13,7
51,66,9
54,22,6
56,94,1
57,7,8
58,48,10
59,66,8
60,88,8
61,70,3
64,85,3
65,48,4
66,42,3
68,74,9
72,43,6
74,96,9
76,49,7
77,80,4
78,72,8
79,62,5
81,39,3
82,80,8
83,94,7
86,24,8
88,57,3
89,53,6
90,9,7
91,5,6
94,8,8
95,42,8
96,45,3
97,46,10
98,78,3
99,52,9
1,1,1
4,48,4
7,6,4
10,69,1
12,47,1
14,74,9
16,39,2
20,89,1
21,99,10
26,85,6
27,30,1
30,54,2
31,77,7
36,18,5
37,21,1
38,52,1
41,82,8
42,49,6
45,24,5
48,98,5
54,63,4
59,52,8
81,81,10
55,55,7
79,79,8
64,64,3
